duration,start_date,end_date,start_station_number,start_station,end_station_number,end_station,bike_number,member_type
5071,2018-12-02 14:34:44,2018-12-02 15:59:16,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,W01181,Member
1048,2018-12-20 08:19:34,2018-12-20 08:37:03,32082,Garland Ave & Walden Rd,32012,Silver Spring Metro/Colesville Rd & Wayne Ave,W00946,Member
745,2018-12-13 17:50:58,2018-12-13 18:03:24,32224,Town Center Pkwy & Sunset Hills Rd,32215,Wiehle Ave & Reston Station Blvd,W23497,Member
354,2018-12-11 13:53:52,2018-12-11 13:59:47,31212,21st & M St NW,31237,25th St & Pennsylvania Ave NW,W21017,Member
745,2018-12-08 13:17:16,2018-12-08 13:29:41,31088,Mount Vernon Ave & Kennedy St,31048,King St Metro South,W23189,Member
1027,2018-12-10 20:17:14,2018-12-10 20:34:21,31098,King St Metro North / Cameron St,31041,Prince St & Union St,W22412,Member
381,2018-12-11 20:01:48,2018-12-11 20:08:09,31245,7th & R St NW / Shaw Library,31201,15th & P St NW,W21222,Member
375,2018-12-19 07:41:50,2018-12-19 07:48:06,31230,Metro Center / 12th & G St NW,31284,18th & C St NW,W21620,Member
167,2018-12-19 19:05:39,2018-12-19 19:08:27,31627,3rd & M St NE,31616,3rd & H St NE,W22980,Member
817,2018-12-13 15:26:46,2018-12-13 15:40:23,31209,1st & N St  SE,31612,D St & Maryland Ave NE,W23558,Member
1109,2018-12-14 08:51:14,2018-12-14 09:09:43,31229,New Hampshire Ave & T St NW,31279,19th & G St NW,W01275,Member
706,2018-12-29 21:05:47,2018-12-29 21:17:34,31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31603,1st & M St NE,W22706,Member
421,2018-12-27 09:29:29,2018-12-27 09:36:31,31270,8th & D St NW,31217,USDA / 12th & C St SW,W00016,Member
282,2018-12-11 22:59:11,2018-12-11 23:03:53,31201,15th & P St NW,31266,11th & M St NW,W23767,Member
473,2018-12-13 12:08:28,2018-12-13 12:16:21,31519,1st & O St NW,31118,3rd & Elm St NW,W00944,Member
466,2018-12-18 07:27:30,2018-12-18 07:35:16,31623,Columbus Circle / Union Station,31256,10th & E St NW,W01190,Member
375,2018-12-09 12:41:49,2018-12-09 12:48:04,31622,13th & D St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W23632,Member
376,2018-12-15 12:56:02,2018-12-15 13:02:18,31229,New Hampshire Ave & T St NW,31109,7th & T St NW,W00485,Member
521,2018-12-08 01:11:36,2018-12-08 01:20:17,31203,14th & Rhode Island Ave NW,31214,17th & Corcoran St NW,W00643,Member
1022,2018-12-03 07:15:59,2018-12-03 07:33:02,31229,New Hampshire Ave & T St NW,31014,Lynn & 19th St North,W21280,Member
379,2018-12-25 09:33:48,2018-12-25 09:40:08,31616,3rd & H St NE,31618,4th & East Capitol St NE,W21787,Member
1138,2018-12-24 11:49:11,2018-12-24 12:08:10,31404,9th & Upshur St NW,31203,14th & Rhode Island Ave NW,W00866,Member
914,2018-12-21 13:41:32,2018-12-21 13:56:46,31276,15th & L St NW,31246,M St & Pennsylvania Ave NW,W22880,Member
964,2018-12-07 08:11:47,2018-12-07 08:27:51,31614,11th & H St NE,31227,13th St & New York Ave NW,W23565,Member
610,2018-12-07 09:46:41,2018-12-07 09:56:51,31237,25th St & Pennsylvania Ave NW,31299,Connecticut Ave & R St NW,W22379,Member
343,2018-12-11 23:37:47,2018-12-11 23:43:30,31111,10th & U St NW,31203,14th & Rhode Island Ave NW,W22747,Member
123,2018-12-05 17:27:17,2018-12-05 17:29:21,31084,Ballenger Ave & Dulaney St,31048,King St Metro South,W23509,Member
536,2018-12-11 16:32:45,2018-12-11 16:41:41,31627,3rd & M St NE,31631,8th & F St NE,W23384,Member
257,2018-12-20 21:07:52,2018-12-20 21:12:09,31113,Columbia Rd & Belmont St NW,31229,New Hampshire Ave & T St NW,W00931,Member
355,2018-12-18 19:02:53,2018-12-18 19:08:49,31408,Takoma Metro,32026,Carroll & Ethan Allen Ave,W00461,Member
545,2018-12-20 09:07:47,2018-12-20 09:16:53,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31243,4th & C St SW,W23067,Member
260,2018-12-13 09:54:56,2018-12-13 09:59:16,31297,Virginia Ave & 25th St NW,31279,19th & G St NW,W23580,Member
2474,2018-12-18 12:26:20,2018-12-18 13:07:34,31108,4th & M St SW,31202,14th & R St NW,W22832,Member
1566,2018-12-19 08:28:57,2018-12-19 08:55:03,31401,14th St & Spring Rd NW,31215,Georgetown Harbor / 30th St NW,W00017,Member
697,2018-12-29 16:58:50,2018-12-29 17:10:28,31506,1st & Rhode Island Ave NW,31603,1st & M St NE,W00012,Casual
504,2018-12-03 08:07:55,2018-12-03 08:16:19,31268,12th & U St NW,31262,11th & F St NW,W20094,Member
330,2018-12-08 18:39:15,2018-12-08 18:44:45,31267,17th St & Massachusetts Ave NW,31283,14th & L St NW,W01233,Member
502,2018-12-09 12:09:12,2018-12-09 12:17:35,31101,14th & V St NW,31223,Convention Center / 7th & M St NW,W21459,Member
3122,2018-12-17 08:31:16,2018-12-17 09:23:19,31623,Columbus Circle / Union Station,31305,Connecticut Ave & Newark St NW / Cleveland Park,W23997,Member
282,2018-12-07 17:21:11,2018-12-07 17:25:53,31265,5th St & Massachusetts Ave NW,31638,1st & H St NW,W23873,Member
500,2018-12-07 08:42:13,2018-12-07 08:50:34,31628,1st & K St SE,31243,4th & C St SW,W23923,Member
582,2018-12-19 09:10:36,2018-12-19 09:20:18,31524,Montello Ave & Holbrook Terr NE,31623,Columbus Circle / Union Station,W20157,Member
290,2018-12-03 17:20:10,2018-12-03 17:25:01,31624,North Capitol St & F St NW,31615,6th & H St NE,W20764,Member
1665,2018-12-24 11:01:43,2018-12-24 11:29:28,31618,4th & East Capitol St NE,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W00454,Member
914,2018-12-22 15:34:54,2018-12-22 15:50:08,31600,5th & K St NW,31102,11th & Kenyon St NW,E00069,Member
944,2018-12-26 15:12:10,2018-12-26 15:27:54,31621,4th & D St NW / Judiciary Square,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W23876,Casual
284,2018-12-27 10:12:39,2018-12-27 10:17:24,31237,25th St & Pennsylvania Ave NW,31224,19th & L St NW,W23622,Member
809,2018-12-29 12:00:54,2018-12-29 12:14:24,31060,S Arlington Mill Dr & Campbell Ave,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,W21483,Member
446,2018-12-08 16:07:20,2018-12-08 16:14:47,31249,Jefferson Memorial,31247,Jefferson Dr & 14th St SW,W23413,Casual
2128,2018-12-02 22:03:24,2018-12-02 22:38:52,31247,Jefferson Dr & 14th St SW,31290,17th St & Independence Ave SW,W20959,Casual
1241,2018-12-08 13:50:47,2018-12-08 14:11:29,31030,Lee Hwy & N Adams St,31286,11th & O St NW,65038,Member
452,2018-12-17 07:31:39,2018-12-17 07:39:11,31618,4th & East Capitol St NE,31243,4th & C St SW,W21491,Member
450,2018-12-07 10:20:18,2018-12-07 10:27:49,31048,King St Metro South,31042,Market Square / King St & Royal St,W23893,Casual
497,2018-12-25 13:09:30,2018-12-25 13:17:47,31222,New York Ave & 15th St NW,31265,5th St & Massachusetts Ave NW,W24064,Member
842,2018-12-08 12:13:39,2018-12-08 12:27:41,31222,New York Ave & 15th St NW,31108,4th & M St SW,W20459,Member
910,2018-12-28 11:16:38,2018-12-28 11:31:48,31275,New Hampshire Ave & 24th St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W01145,Member
268,2018-12-09 11:18:09,2018-12-09 11:22:37,31241,Thomas Circle,31202,14th & R St NW,W23745,Member
780,2018-12-01 08:22:20,2018-12-01 08:35:20,31625,3rd & G St SE,31611,13th & H St NE,W23833,Member
1231,2018-12-14 08:03:16,2018-12-14 08:23:47,31630,15th & East Capitol St NE,31606,Potomac & Pennsylvania Ave SE,W23608,Member
883,2018-12-31 07:16:24,2018-12-31 07:31:08,31249,Jefferson Memorial,31003,Crystal Dr & 15th St S,W22705,Member
710,2018-12-30 18:17:00,2018-12-30 18:28:50,31297,Virginia Ave & 25th St NW,31215,Georgetown Harbor / 30th St NW,W22654,Casual
531,2018-12-16 19:53:37,2018-12-16 20:02:28,31081,Duke St & John Carlyle St,31046,Henry St & Pendleton St,E00099,Member
327,2018-12-09 17:12:18,2018-12-09 17:17:46,31126,11th & Girard St NW,31118,3rd & Elm St NW,W23634,Member
724,2018-12-02 14:19:37,2018-12-02 14:31:42,31062,Roosevelt Island,31029,N Veitch  & 20th St N,W23866,Member
341,2018-12-13 01:55:50,2018-12-13 02:01:31,31228,8th & H St NW,31241,Thomas Circle,W20044,Member
498,2018-12-07 12:48:14,2018-12-07 12:56:33,31291,Vermont Ave & I St NW,31229,New Hampshire Ave & T St NW,W21353,Member
554,2018-12-01 11:26:33,2018-12-01 11:35:47,32029,Offutt Ln & Chevy Chase Dr,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,W20231,Member
1071,2018-12-05 08:54:21,2018-12-05 09:12:12,31509,New Jersey Ave & R St NW,31215,Georgetown Harbor / 30th St NW,W23873,Member
1353,2018-12-27 13:57:24,2018-12-27 14:19:58,31288,4th St & Madison Dr NW,31288,4th St & Madison Dr NW,W00505,Member
946,2018-12-18 16:57:33,2018-12-18 17:13:20,31304,36th & Calvert St NW / Glover Park,31201,15th & P St NW,W20520,Member
490,2018-12-03 09:00:33,2018-12-03 09:08:43,31641,2nd St & Massachusetts Ave NE,31228,8th & H St NW,W22135,Member
998,2018-12-17 16:12:06,2018-12-17 16:28:45,31243,4th & C St SW,31656,Maryland Ave & 17th St NE,W23369,Member
478,2018-12-28 01:54:32,2018-12-28 02:02:30,31610,Eastern Market / 7th & North Carolina Ave SE,31643,1st & D St SE,W23192,Casual
1694,2018-12-02 13:16:59,2018-12-02 13:45:13,31243,4th & C St SW,31249,Jefferson Memorial,W01275,Casual
109,2018-12-05 19:24:56,2018-12-05 19:26:45,31639,2nd & G St NE,31623,Columbus Circle / Union Station,W23503,Member
655,2018-12-24 13:57:47,2018-12-24 14:08:43,31615,6th & H St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W22947,Member
513,2018-12-21 14:24:09,2018-12-21 14:32:42,31250,20th & L St NW,31203,14th & Rhode Island Ave NW,W23604,Member
563,2018-12-13 18:09:19,2018-12-13 18:18:42,31256,10th & E St NW,31268,12th & U St NW,W21754,Member
728,2018-12-30 17:55:23,2018-12-30 18:07:31,31237,25th St & Pennsylvania Ave NW,31201,15th & P St NW,W23885,Member
167,2018-12-13 08:17:02,2018-12-13 08:19:50,31115,Columbia Rd & Georgia Ave NW,31124,14th & Irving St NW,W00613,Member
751,2018-12-30 18:10:16,2018-12-30 18:22:47,31290,17th St & Independence Ave SW,31217,USDA / 12th & C St SW,W24154,Casual
281,2018-12-06 17:33:31,2018-12-06 17:38:13,31517,Union Market/6th St & Neal Pl NE,31603,1st & M St NE,W21573,Member
1273,2018-12-04 16:16:30,2018-12-04 16:37:44,31917,N Lynn St & Fairfax Dr,31295,Potomac & M St NW,W20138,Member
1363,2018-12-13 14:32:38,2018-12-13 14:55:21,31283,14th & L St NW,31236,37th & O St NW / Georgetown University,E00143,Member
1659,2018-12-03 08:06:19,2018-12-03 08:33:58,31626,15th St & Massachusetts Ave SE,31621,4th & D St NW / Judiciary Square,W23033,Member
1589,2018-12-12 05:13:00,2018-12-12 05:39:30,31638,1st & H St NW,31276,15th & L St NW,W23394,Member
1084,2018-12-17 10:13:18,2018-12-17 10:31:23,31310,Connecticut & Nebraska Ave NW,31299,Connecticut Ave & R St NW,W20720,Member
562,2018-12-12 17:08:54,2018-12-12 17:18:17,31298,15th & M St NW,31255,24th & N St NW,W21509,Member
1012,2018-12-21 11:15:31,2018-12-21 11:32:23,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31249,Jefferson Memorial,W01129,Member
802,2018-12-10 19:16:04,2018-12-10 19:29:26,31121,Calvert St & Woodley Pl NW,31651,11th & Park Rd NW,W23954,Member
427,2018-12-18 06:48:17,2018-12-18 06:55:25,31218,L'Enfant Plaza / 7th & C St SW,31219,10th St & Constitution Ave NW,W01152,Member
704,2018-12-04 15:18:06,2018-12-04 15:29:51,31277,17th & G St NW,31265,5th St & Massachusetts Ave NW,W20947,Member
1773,2018-12-21 23:12:32,2018-12-21 23:42:06,31037,Ballston Metro / N Stuart & 9th St N,31905,Kennebec St & 11th St N,W21974,Member
491,2018-12-02 14:09:01,2018-12-02 14:17:12,31203,14th & Rhode Island Ave NW,31503,Florida Ave & R St NW,W22239,Member
1937,2018-12-07 06:27:41,2018-12-07 06:59:59,31007,Crystal City Metro / 18th & Bell St,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W22637,Member
743,2018-12-16 17:33:06,2018-12-16 17:45:29,31109,7th & T St NW,31201,15th & P St NW,W20649,Member
718,2018-12-20 17:26:09,2018-12-20 17:38:07,31279,19th & G St NW,31295,Potomac & M St NW,E00117,Member
603,2018-12-29 21:01:49,2018-12-29 21:11:52,31223,Convention Center / 7th & M St NW,31603,1st & M St NE,W23078,Member
122,2018-12-29 15:00:13,2018-12-29 15:02:15,31228,8th & H St NW,31230,Metro Center / 12th & G St NW,W20422,Member
161,2018-12-28 17:41:10,2018-12-28 17:43:51,32027,Battery Ln & Trolley Trail,32008,Cordell & Norfolk Ave,W20762,Member
1224,2018-12-26 01:39:38,2018-12-26 02:00:02,31261,21st St & Constitution Ave NW,31261,21st St & Constitution Ave NW,W00083,Member
255,2018-12-18 08:03:09,2018-12-18 08:07:24,31117,15th & Euclid St  NW,31124,14th & Irving St NW,W22379,Member
2931,2018-12-30 12:06:12,2018-12-30 12:55:03,31502,John McCormack Dr & Michigan Ave NE,31623,Columbus Circle / Union Station,W21129,Member
408,2018-12-09 15:37:38,2018-12-09 15:44:27,31622,13th & D St NE,31623,Columbus Circle / Union Station,W23832,Member
704,2018-12-19 17:17:38,2018-12-19 17:29:23,31321,15th St & Constitution Ave NW,31623,Columbus Circle / Union Station,W21842,Member
190,2018-12-07 11:29:38,2018-12-07 11:32:49,31110,20th St & Florida Ave NW,31234,20th & O St NW / Dupont South,W22808,Member
451,2018-12-12 08:07:27,2018-12-12 08:14:58,31265,5th St & Massachusetts Ave NW,31238,14th & G St NW,W23726,Member
7767,2018-12-30 15:03:35,2018-12-30 17:13:02,31249,Jefferson Memorial,31249,Jefferson Memorial,W20214,Casual
1029,2018-12-04 16:04:50,2018-12-04 16:22:00,31203,14th & Rhode Island Ave NW,31500,4th & W St NE,W20564,Member
808,2018-12-29 14:39:28,2018-12-29 14:52:57,31212,21st & M St NW,31113,Columbia Rd & Belmont St NW,W00490,Member
1307,2018-12-29 13:15:00,2018-12-29 13:36:48,31252,21st St & Pennsylvania Ave NW,31285,22nd & P ST NW,W20947,Member
518,2018-12-11 08:30:40,2018-12-11 08:39:19,31276,15th & L St NW,31255,24th & N St NW,W22825,Member
752,2018-12-06 13:12:55,2018-12-06 13:25:28,31278,18th & R St NW,31216,14th St & New York Ave NW,W00622,Member
547,2018-12-30 12:53:26,2018-12-30 13:02:33,31629,8th & East Capitol St NE,31272,Washington & Independence Ave SW/HHS,W21667,Casual
669,2018-12-08 01:36:25,2018-12-08 01:47:35,31267,17th St & Massachusetts Ave NW,31296,Columbia & Ontario Rd NW,W20205,Member
218,2018-12-12 13:26:17,2018-12-12 13:29:55,31222,New York Ave & 15th St NW,31242,18th St & Pennsylvania Ave NW,W22605,Member
325,2018-12-06 23:23:51,2018-12-06 23:29:17,31225,C & O Canal & Wisconsin Ave NW,31211,Kennedy Center,W20559,Casual
852,2018-12-12 11:31:20,2018-12-12 11:45:32,31244,4th & E St SW,31244,4th & E St SW,E00103,Member
2946,2018-12-20 07:57:44,2018-12-20 08:46:50,31920,Washington-Lee High School / N Stafford St & Generals Way,31002,Crystal Dr & 20th St S,W21281,Member
436,2018-12-20 18:19:40,2018-12-20 18:26:57,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31924,Wilson Blvd & N Troy St,W20275,Member
556,2018-12-03 08:17:18,2018-12-03 08:26:34,31645,6th & K St NE,31600,5th & K St NW,W22272,Member
404,2018-12-20 14:57:45,2018-12-20 15:04:30,31122,16th & Irving St NW,31110,20th St & Florida Ave NW,W23941,Member
1049,2018-12-24 18:54:48,2018-12-24 19:12:17,31007,Crystal City Metro / 18th & Bell St,31009,Crystal Dr & 27th St S,W24169,Member
294,2018-12-17 17:34:18,2018-12-17 17:39:12,31214,17th & Corcoran St NW,31267,17th St & Massachusetts Ave NW,W00216,Member
566,2018-12-20 08:49:45,2018-12-20 08:59:11,31234,20th & O St NW / Dupont South,31260,23rd & E St NW ,W21278,Member
409,2018-12-18 13:14:22,2018-12-18 13:21:12,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31622,13th & D St NE,E00134,Member
92,2018-12-06 16:00:09,2018-12-06 16:01:41,31279,19th & G St NW,31253,19th & K St NW,W23570,Member
938,2018-12-07 09:16:23,2018-12-07 09:32:01,31124,14th & Irving St NW,31275,New Hampshire Ave & 24th St NW,W00325,Member
2527,2018-12-19 16:34:54,2018-12-19 17:17:02,31408,Takoma Metro,32036,Fenton St & Ellsworth Dr ,W00115,Casual
238,2018-12-11 14:14:08,2018-12-11 14:18:07,32229,Park Run & Onyx Dr,32204,Tysons Corner Station,W22843,Member
6387,2018-12-23 14:17:59,2018-12-23 16:04:26,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31077,Iwo Jima Memorial/N Meade & 14th St N,W00442,Casual
1189,2018-12-09 13:08:57,2018-12-09 13:28:47,31080,Lee Hwy & N Scott St,31221,18th & M St NW,W00808,Member
402,2018-12-13 21:25:35,2018-12-13 21:32:17,31100,19th St & Pennsylvania Ave NW,31234,20th & O St NW / Dupont South,W01171,Member
570,2018-12-09 16:33:11,2018-12-09 16:42:41,31107,Lamont & Mt Pleasant NW,31400,Georgia & New Hampshire Ave NW,W21391,Member
540,2018-12-05 16:30:43,2018-12-05 16:39:43,31125,15th & W St NW,31267,17th St & Massachusetts Ave NW,W21873,Member
711,2018-12-29 15:05:52,2018-12-29 15:17:43,31619,Lincoln Park / 13th & East Capitol St NE ,31623,Columbus Circle / Union Station,W00087,Member
308,2018-12-28 10:43:31,2018-12-28 10:48:40,31201,15th & P St NW,31116,California St & Florida Ave NW,W23742,Member
1092,2018-12-27 12:35:06,2018-12-27 12:53:19,31201,15th & P St NW,31297,Virginia Ave & 25th St NW,W00438,Member
586,2018-12-07 15:03:02,2018-12-07 15:12:48,31089,Court House Metro / 15th & N Uhle St ,31073,Washington Blvd & Walter Reed Dr ,W20359,Member
582,2018-12-05 09:53:37,2018-12-05 10:03:20,31039,Wilson Blvd & N Quincy St,31901,Washington Blvd & N Frederick St,W20211,Casual
522,2018-12-17 17:20:43,2018-12-17 17:29:25,31623,Columbus Circle / Union Station,31611,13th & H St NE,W20258,Member
1277,2018-12-26 06:27:47,2018-12-26 06:49:05,31267,17th St & Massachusetts Ave NW,31516,Rhode Island Ave Metro,W23861,Member
286,2018-12-08 06:34:18,2018-12-08 06:39:04,31916,Potomac & Swann Ave,31910,Potomac Ave & Main Line Blvd,W23837,Member
886,2018-12-04 19:40:41,2018-12-04 19:55:28,31114,18th St & Wyoming Ave NW,31118,3rd & Elm St NW,W23567,Member
1350,2018-12-02 12:26:09,2018-12-02 12:48:39,31902,Wilson Blvd & N Illinois St ,31062,Roosevelt Island,W20287,Member
496,2018-12-12 10:31:19,2018-12-12 10:39:36,31014,Lynn & 19th St North,31312,Wisconsin Ave & O St NW,W23614,Member
987,2018-12-07 12:22:20,2018-12-07 12:38:47,31636,New Jersey Ave & N St NW/Dunbar HS,31229,New Hampshire Ave & T St NW,W20120,Member
370,2018-12-05 11:15:23,2018-12-05 11:21:33,31252,21st St & Pennsylvania Ave NW,31221,18th & M St NW,W01307,Member
404,2018-12-29 20:23:39,2018-12-29 20:30:24,31266,11th & M St NW,31264,6th St & Indiana Ave NW,W20042,Member
598,2018-12-02 11:48:50,2018-12-02 11:58:48,31245,7th & R St NW / Shaw Library,31232,7th & F St NW / National Portrait Gallery,W20900,Member
500,2018-12-01 09:46:44,2018-12-01 09:55:04,31288,4th St & Madison Dr NW,31618,4th & East Capitol St NE,W00600,Member
