name,id,brewer,alcohol_by_volume,style,category,country
Hahn Special Vintage 2000,1194,Lion Nathan Australia  Hunter Street,8.0,Old Ale,British Ale,Australia
James Squire India Pale Ale,1904,Malt Shovel Brewery,0.0,American-Style Pale Ale,North American Ale,Australia
Dark Ale,128,Coopers Brewery,4.5,English-Style Pale Mild Ale,British Ale,Australia
James Squire Australian Best Ale Limited Release,1415,Malt Shovel Brewery,6.8000001907,NA,NA,Australia
Extra Strong Vintage Ale,184,Coopers Brewery,7.5,NA,NA,Australia
Coopers Premium Lager,4929,Coopers Brewery,5.0,American-Style Lager,North American Lager,Australia
Coopers Mild Ale,4932,Coopers Brewery,3.5,English-Style Pale Mild Ale,British Ale,Australia
James Squire Porter,2239,Malt Shovel Brewery,0.0,Porter,Irish Ale,Australia
Lager,2887,Swan Brewery,0.0,American-Style Lager,North American Lager,Australia
Coopers Premium Light,4934,Coopers Brewery,2.9000000954,American-Style Light Lager,North American Lager,Australia
New,242,Tooheys,4.5999999046,American-Style Lager,North American Lager,Australia
Foster's Special Bitter,4568,Foster's Australia Ltd.,5.5,Ordinary Bitter,British Ale,Australia
King Lager,4840,Australian Brewing Corporation,5.1999998093,American-Style Light Lager,North American Lager,Australia
Coopers Best Extra Stout,4933,Coopers Brewery,6.3000001907,American-Style Stout,North American Ale,Australia
Birell,4935,Coopers Brewery,0.5,American-Style Light Lager,North American Lager,Australia
Coopers Original Pale Ale,4931,Coopers Brewery,4.5,Classic English-Style Pale Ale,British Ale,Australia
Little Creatures Pilsner,5140,Little Creatures Brewery,4.5999999046,German-Style Pilsener,German Lager,Australia
Old Australia Stout,3617,South Australian Brewing,0.0,American-Style Stout,North American Ale,Australia
Sheaf Stout,2355,Tooth's,0.0,American-Style Stout,North American Ale,Australia
Redback Original Malt Wheat Beer,2615,Matilda Bay Brewing,4.6999998093,NA,NA,Australia
Golden Harvest Weizenbier,2624,Gold Coast Brewery,0.0,South German-Style Hefeweizen,German Ale,Australia
Scharer's Lager,5145,Scharer's Little Brewery,5.0,American-Style Lager,North American Lager,Australia
Coopers Sparkling Ale,4930,Coopers Brewery,5.8000001907,Classic English-Style Pale Ale,British Ale,Australia
Foster's Premium Ale,5200,Foster's Australia Ltd.,5.5,Classic English-Style Pale Ale,British Ale,Australia
