name,id,brewer,alcohol_by_volume,style,category,country
Dark Beer / StiftsbrÃ¤u,176,Brauerei Gss,0.0,NA,NA,Austria
Samichlaus Bier 2003,1349,Schloss Eggenberg,14.0,Traditional German-Style Bock,German Lager,Austria
Samichlaus Bier 2005,396,Schloss Eggenberg,14.0,Traditional German-Style Bock,German Lager,Austria
Urbock 23Â°,819,Schloss Eggenberg,9.6000003815,German-Style Doppelbock,German Lager,Austria
GÃ¶sser,2639,Brausttte der Steirerbrau Aktiengesellschaft,0.0,NA,NA,Austria
Columbus Pils,2889,Stieglbrauerei zu Salzburg GmbH,4.9000000954,German-Style Pilsener,German Lager,Austria
Weizengold Hefefein,80,Stieglbrauerei zu Salzburg GmbH,5.0999999046,South German-Style Hefeweizen,German Ale,Austria
Doppelbock Dunkel,377,Schloss Eggenberg,8.5,German-Style Doppelbock,German Lager,Austria
Stout,551,Schlossbru,5.0,American-Style Stout,North American Ale,Austria
Naturtrubes,554,Schlossbru,5.0999999046,NA,NA,Austria
Columbus Bock,2888,Stieglbrauerei zu Salzburg GmbH,0.0,Traditional German-Style Bock,German Lager,Austria
NaturtrÃ¼bes Kellerbier,550,Mohrenbrauerei August Huber,0.0,Traditional German-Style Bock,German Lager,Austria
Paracelsus Zwickl,5542,Stieglbrauerei zu Salzburg GmbH,5.0,NA,NA,Austria
Gambrinus,549,Mohrenbrauerei August Huber,4.5999999046,NA,NA,Austria
Weizen,552,Schlossbru,5.0,South German-Style Hefeweizen,German Ale,Austria
Spezial,553,Schlossbru,5.5,NA,NA,Austria
Weizengold Dunkel,5540,Stieglbrauerei zu Salzburg GmbH,0.0,NA,NA,Austria
Samichlaus Bier 2006,4748,Schloss Eggenberg,14.0,NA,NA,Austria
Spezial,560,Mohrenbrauerei August Huber,5.5999999046,NA,NA,Austria
Edelweiss HefetrÃ¼b,3560,Hofbru Kaltenhausen Salzachtal,0.0,South German-Style Hefeweizen,German Ale,Austria
JÃ¶rger WeiÃŸe Hell,84,Brauerei Grieskirchen AG,0.0,South German-Style Hefeweizen,German Ale,Austria
Stiegl Leicht,5541,Stieglbrauerei zu Salzburg GmbH,3.2999999523,American-Style Light Lager,North American Lager,Austria
Stiegl GoldbrÃ¤u,5539,Stieglbrauerei zu Salzburg GmbH,4.9000000954,German-Style Oktoberfest,German Lager,Austria
Ottakringer Helles,5543,Ottakringer Brauerei AG,5.0999999046,NA,NA,Austria
Edelweiss Dunkel Weissbier,2649,Hofbru Kaltenhausen Salzachtal,0.0,NA,NA,Austria
