name,id,brewer,alcohol_by_volume,style,category,country
Het Kapittel Pater,1509,Brouwerij Van Eecke,0.0,NA,NA,Belgium
Gouden Carolus NoÃ«l,1579,Brouwerij Het Anker,0.0,NA,NA,Belgium
Serafijn Christmas Angel,56,Microbrouwerij Achilles,8.0,NA,NA,Belgium
Leute Bok Bier,111,Brouwerij Van Steenberge,7.5,Traditional German-Style Bock,German Lager,Belgium
CuvÃ©e des Champions 2003-2004,178,Brasserie-Brouwerij Cantillon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Blanche de Namur,222,Brasserie du Bocq,4.5,NA,NA,Belgium
Vuuve,355,Brouwerij De Regenboog,0.0,NA,NA,Belgium
PÃ¨re NoÃ«l,444,Brouwerij De Ranke,0.0,NA,NA,Belgium
Chocolat,528,Brasserie Fantme,8.0,NA,NA,Belgium
St. Sebastiaan Golden,826,Brouwerij Sterkens,7.6999998093,NA,NA,Belgium
Satan Red,854,Brouwerij De Block,8.0,NA,NA,Belgium
Blonde,883,Brasserie de l'Abbaye Val-Dieu,6.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Oude Gueuze Vielle,958,Brouwerij Oud Beersel,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Gueuze 1882,960,Brouwerij Girardin,5.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Bellegems Bruin,1373,Brouwerij Bockor,5.5,NA,NA,Belgium
BiÃ¨re du Boucanier,1374,ICOBES b.v.b.a.,0.0,NA,NA,Belgium
Ultra AmbrÃ©e,1413,Brasserie d'Ecaussinnes,0.0,NA,NA,Belgium
Urthel Novicius Vertus,1519,De Leyerth Brouwerijen,5.9000000954,NA,NA,Belgium
Liefmans Kriekbier,1534,Brouwerij Liefmans,6.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Reinaert Flemish Wild Ale,1610,De Proef Brouwerij,9.0,NA,NA,Belgium
Oude Gueuze,1804,Hanssens Artisanal,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Echte Kriek,1837,Brouwerij Verhaeghe,0.0,NA,NA,Belgium
Loterbol,1074,Brouwerij Duysters,8.0,NA,NA,Belgium
Chouffe-Bok,1798,Brasserie D'Achouffe,6.5999999046,NA,NA,Belgium
Witte Ezel,1902,Brouwerij Bavik - De Brabandere,0.0,NA,NA,Belgium
Kriek,41,Brouwerij De Ranke,7.0,NA,NA,Belgium
Petrus Gouden Tripel Ale,76,Brouwerij Bavik - De Brabandere,7.5,NA,NA,Belgium
Brune / Bruin,1066,Brouwerij St-Feuillien,7.5,NA,NA,Belgium
Kriek-Lambic,1348,Brasserie-Brouwerij Cantillon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Wittekerke,1524,Brouwerij Bavik - De Brabandere,5.0,NA,NA,Belgium
BiÃ¨re de Mars,1799,Brasserie D'Achouffe,0.0,NA,NA,Belgium
Malheur Brut Reserve,1965,Brouwerij De Landtsheer,11.0,NA,NA,Belgium
Grimbergen Blonde,2,Brouwerij Alken-Maes,6.6999998093,NA,NA,Belgium
Petrus Blond Ale,77,Brouwerij Bavik - De Brabandere,6.5999999046,NA,NA,Belgium
Speciale NoÃ«l,1063,Brasserie Fantme,0.0,NA,NA,Belgium
Bloesem Bink,1073,Brouwerij Kerkom,7.0999999046,NA,NA,Belgium
Geuze Boon,1343,Brouwerij Boon,6.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Winterkoninkse,1386,Brouwerij Kerkom,8.3000001907,NA,NA,Belgium
Gouyasse / Goliath,1388,Brasserie des Gants,9.0,NA,NA,Belgium
Bruin Tradition / Brune Tradition,1399,Brasserie La Binchoise,8.1999998093,NA,NA,Belgium
Hoegaarden,4422,Brouwerij van Hoegaarden,4.9000000954,Light American Wheat Ale or Lager,Other Style,Belgium
Trappist Westvleteren Blonde,4681,Brouwerij Abdij Saint Sixtus,5.8000001907,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Tongerlo Tripple,4717,Tongerlo,8.0,Belgian-Style Tripel,Belgian and French Ale,Belgium
Black Albert,4719,De Struise Brouwers,13.0,American-Style Imperial Stout,North American Ale,Belgium
Palm Speciale,4750,Palm Breweries,5.1999998093,American-Style Amber/Red Ale,North American Ale,Belgium
Moneuse Speciale NoÃ«l,1062,Brasserie de Blaugies,0.0,NA,NA,Belgium
Grotten Brown,1067,Brouwerij St. Bernardus,6.6999998093,Dark American-Belgo-Style Ale,North American Ale,Belgium
Tripel Krullekop,1299,De Proef Brouwerij,9.8000001907,NA,NA,Belgium
Urthel Hibernius Quentum Ale,1580,De Leyerth Brouwerijen,9.0,NA,NA,Belgium
Grottenbier,1963,Folx-les-Caves,6.5,NA,NA,Belgium
Christmas Ale,1064,Brewery Corsendonk,8.5,NA,NA,Belgium
Cinq Cents (White),1591,Brasserie de l'Abbaye de Scourmont (Trappistes),8.0,NA,NA,Belgium
Het Kapittel Abt,1824,Brouwerij Van Eecke,10.0,NA,NA,Belgium
PremiÃ¨re (Red),1836,Brasserie de l'Abbaye de Scourmont (Trappistes),0.0,NA,NA,Belgium
Malheur 10,1939,Brouwerij De Landtsheer,10.0,NA,NA,Belgium
Trappist Westvleteren 8,1127,Brouwerij Abdij Saint Sixtus,8.0,Belgian-Style Dubbel,Belgian and French Ale,Belgium
Satan Gold,1336,Brouwerij De Block,8.0,NA,NA,Belgium
Reserve Speciale / SpÃ©ciale NoÃ«l,1400,Brasserie La Binchoise,0.0,NA,NA,Belgium
Urthel Tonicum Finiboldhus,1520,De Leyerth Brouwerijen,7.5,NA,NA,Belgium
Abbaye de Saint-Martin Blonde,1582,Brasserie de Brunehaut,7.0,Belgian-Style Pale Strong Ale,Belgian and French Ale,Belgium
Saxo,1310,Brasserie La Caracole,8.0,NA,NA,Belgium
Goudenband 2002,1405,Brouwerij Liefmans,8.0,NA,NA,Belgium
Trappist Blond,1428,Brouwerij De Achelse Kluis,8.0,NA,NA,Belgium
Lucifer,1429,Liefmans Breweries,8.0,NA,NA,Belgium
Abbey Brown Ale / Pater,1829,Brewery Corsendonk,0.0,NA,NA,Belgium
Saison,1896,Brasserie de Silly,5.3000001907,NA,NA,Belgium
Oudbeitje,1959,Hanssens Artisanal,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Triple,1964,Brouwerij St-Feuillien,8.5,NA,NA,Belgium
Canaster Winter Scotch,38,Kleinbrouwerij de Glazen Toren,8.6999998093,NA,NA,Belgium
BiÃ¨re Darbyste,42,Brasserie de Blaugies,0.0,Light American Wheat Ale or Lager,Other Style,Belgium
Equinox Dark Belgian Winter,55,Brasserie de la Senne,8.0,NA,NA,Belgium
