name,id,brewer,alcohol_by_volume,style,category,country
Kozel Premium,3117,Pivovar Velk Popovice,5.0,NA,NA,Czech Republic
TmavÃ© 10% / Dark Beer,1204,Pivovar Klter Hradit,0.0,NA,NA,Czech Republic
PrimÃ¡tor Double 24% / PrimÃ¡tor Double Bock Beer,1383,Pivovar Nchod,0.0,Traditional German-Style Bock,German Lager,Czech Republic
PrimÃ¡tor Blonde Bock Beer,1407,Pivovar Nchod,0.0,Traditional German-Style Bock,German Lager,Czech Republic
Imperial Czech Premium Lager,5373,KrÃ¡lovskÃ½ pivovar KruÅ¡ovice,0.0,American-Style Lager,North American Lager,Czech Republic
Samson Crystal Lager Beer,2722,Budjovick Mansk Pivovar,5.0,NA,NA,Czech Republic
Premium,2562,Plzesk Prazdroj Pivovar Radegast,5.0999999046,NA,NA,Czech Republic
Porter Boom,1375,Pivovar Pardubice a.s.,8.0,Porter,Irish Ale,Czech Republic
Breznak Dunkles/Dark,4402,Breznak,3.7000000477,Dark American-Belgo-Style Ale,North American Ale,Czech Republic
Samson Crystal Diplomat Dark Beer,2558,Budjovick Mansk Pivovar,0.0,NA,NA,Czech Republic
Staropramen,4571,Pivovary Staropramen,5.0,German-Style Pilsener,German Lager,Czech Republic
Budweiser Budvar (Czechvar),5385,Brewery Budweiser Budvar,5.0,German-Style Pilsener,German Lager,Czech Republic
Lion Lev Export Lager Beer Double Bock,3628,Pivovar Hradec Krlov,0.0,Traditional German-Style Bock,German Lager,Czech Republic
Pilsner Urquell,4311,Plzesk Prazdroj,4.4000000954,German-Style Pilsener,German Lager,Czech Republic
Czech Premium Lager,654,Pivovar Starobrno,0.0,NA,NA,Czech Republic
Black Lion Lev Czech Premium Dark Beer,3630,Pivovar Hradec Krlov,0.0,NA,NA,Czech Republic
Lion Lev Export Lager,3690,Pivovar Hradec Krlov,0.0,NA,NA,Czech Republic
