name,id,brewer,alcohol_by_volume,style,category,country
Jenlain St Druon de Sebourg,839,Brasserie Duyck,6.0,NA,NA,France
Framboise,19,Brasserie La Choulette,6.0,NA,NA,France
Blonde,34,Brasserie La Choulette,7.5,NA,NA,France
BÃªte des Vosges,1309,Brasserie des Vosges,0.0,Old Ale,British Ale,France
Jenlain Blonde,33,Brasserie Duyck,7.5,NA,NA,France
BiÃ¨re de NoÃ«l,529,Brasserie Duyck,0.0,NA,NA,France
Castelain St.Amand French Country Ale,595,Brasserie Bnifontaine,5.9000000954,NA,NA,France
Yeti,892,Brasserie des Cimes,8.0,NA,NA,France
1664,4410,Brasseries Kronenbourg,0.0,NA,NA,France
XTra,394,Brasserie Thiriez,4.5,NA,NA,France
AmbrÃ©e / Chestnut Beer,926,Brasserie Pietra,0.0,NA,NA,France
Belzebuth,2222,Brasserie Grain D'Orge,13.0,Golden or Blonde Ale,North American Ale,France
Les Sans Culottes,840,Brasserie La Choulette,7.0,NA,NA,France
Gavroche French Red Ale,173,Brasserie De Saint Sylvestre,8.5,NA,NA,France
Castelain Blond Biere de Garde,2935,Brasserie Bnifontaine,5.5999999046,NA,NA,France
3 Monts,5394,Brasserie De Saint Sylvestre,8.5,NA,NA,France
Ambr,5914,Brasserie du Bouffay,0.0,Out of Category,Other Style,France
Jade,2769,Brasserie Bnifontaine,4.5,NA,NA,France
