name,id,brewer,alcohol_by_volume,style,category,country
Export Premium,1516,Licher Privatbrauerei,5.4000000954,NA,NA,Germany
Lager,1626,Binding Brauerei AG,4.5,NA,NA,Germany
Pilsener,1638,Friesisches Brauhaus zu Jever,5.0,NA,NA,Germany
KÃ¶lsch,1639,Clner Hofbrau Frh,0.0,NA,NA,Germany
Pils,1646,Gatz Brauhaus,0.0,NA,NA,Germany
Weissbier,1660,Schlobrauerei Reckendorf,0.0,South German-Style Hefeweizen,German Ale,Germany
Bockbier,1669,Klosterbru Bamberg,7.0,Traditional German-Style Bock,German Lager,Germany
Pils,1673,Maisel Bru,4.6999998093,NA,NA,Germany
Schwarze Weisse,1693,LÃ¶wenbrÃ¤u Brauerei,5.1999998093,NA,NA,Germany
Maximator,1695,Augustiner-BrÃ¤u MÃ¼nchen,0.0,Traditional German-Style Bock,German Lager,Germany
Edelstoff,1697,Augustiner-BrÃ¤u MÃ¼nchen,0.0,NA,NA,Germany
Wiesen Edel Weisse,17,Private Weissbierbrauerei G. Schneider & Sohn GmbH,6.1999998093,South German-Style Hefeweizen,German Ale,Germany
Dunkles Lager,520,Simmerberg Brusttt und Taferne,0.0,NA,NA,Germany
Alt-DÃ¼rrener-WeiÃŸe,572,Edelweissbrauerei Farny,0.0,NA,NA,Germany
Kristall-Weizen,574,Edelweissbrauerei Farny,0.0,NA,NA,Germany
Humpis-Original Naturtrub,576,Edelweissbrauerei Farny,5.0999999046,NA,NA,Germany
Hefeweizen,577,Gasthaus-Brauerei Max & Moritz,0.0,South German-Style Hefeweizen,German Ale,Germany
Kristall Weizen,583,Ruppaner-Brauerei,0.0,NA,NA,Germany
Spezial-Export,587,Ruppaner-Brauerei,0.0,NA,NA,Germany
Barock-Dunkel,912,Klosterbrauerei Weltenburg,4.6999998093,NA,NA,Germany
Bayrisch Hell,1041,Allguer Brauhaus AG Kempten,4.6999998093,NA,NA,Germany
Bayrisch Hell,1041,Allguer Brauhaus AG Kempten,4.6999998093,NA,NA,Germany
Premium Pils,1627,Hasserder Brauerei,4.8000001907,NA,NA,Germany
Alt,1649,Brauerei Schumacher,4.5999999046,American-Style Brown Ale,North American Ale,Germany
Edel-Pils,1663,Schlobrauerei Reckendorf,4.8000001907,NA,NA,Germany
Benediktiner Dunkel,1681,Maisel Bru,0.0,NA,NA,Germany
Original,1688,Staatliches HofbrÃ¤uhaus in MÃ¼nchen,5.0999999046,NA,NA,Germany
Triumphator,1694,LÃ¶wenbrÃ¤u Brauerei,7.5999999046,Traditional German-Style Bock,German Lager,Germany
EKU Pils,1722,Kulmbacher Brauerei AG,4.9000000954,NA,NA,Germany
Hefe-WeiÃŸbier,1899,Paulaner,0.0,South German-Style Hefeweizen,German Ale,Germany
JubilÃ¤ums German Pils,1040,Aktienbrauerei Kaufbeuren,0.0,NA,NA,Germany
Porter,1205,Hoepfner Privatbrauerei,5.8000001907,German-Style Schwarzbier,German Lager,Germany
Roggenbier,1327,BÃ¼rgerbrÃ¤u Wolnzach,5.5,American-Style Lager,North American Lager,Germany
Weisse Dunkel,1341,Private Weissbierbrauerei G. Schneider & Sohn GmbH,0.0,NA,NA,Germany
Kapuziner WeiÃŸbier,1631,Kulmbacher Brauerei AG,0.0,South German-Style Hefeweizen,German Ale,Germany
WeiÃŸbier Mit Feiner Hefe,1652,Privatbrauerei Erdinger Weissbru,0.0,South German-Style Hefeweizen,German Ale,Germany
KÃ¶nig Ludwig Dunkel,1653,Knig Ludwig Schlobrauerei Kaltenberg,0.0,NA,NA,Germany
Meranier Schwarzbier,1657,Kaiserdom Privatbrauerei Bamberg,0.0,German-Style Schwarzbier,German Lager,Germany
Kellerbier,1662,Schlobrauerei Reckendorf,5.0,NA,NA,Germany
Lagerbier,1665,Privater Brauereigasthof Greifenklau,0.0,NA,NA,Germany
Braunbier,1667,Klosterbru Bamberg,5.6999998093,German-Style Oktoberfest,German Lager,Germany
Ungespundetes,1676,Brauerei Spezial,0.0,NA,NA,Germany
Lagerbier,1677,Brauerei Fssla,5.5,NA,NA,Germany
Unimator,1684,Unionsbru Haidhausen,0.0,Traditional German-Style Bock,German Lager,Germany
Hell,1325,BÃ¼rgerbrÃ¤u Wolnzach,5.0999999046,NA,NA,Germany
Beer,1546,Brauerei Beck,0.0,NA,NA,Germany
Weissbier Hell,1567,Martini-Brauerei,5.1999998093,South German-Style Hefeweizen,German Ale,Germany
Alt,1606,Privatbrauerei Frankenheim,4.8000001907,American-Style Brown Ale,North American Ale,Germany
Original Berliner Weisse,1625,Berliner-Kindl-Schultheiss-Brauerei,0.0,NA,NA,Germany
MÃ¼nchner Hell / Premium Lager,1633,Spaten-Franziskaner-BrÃ¤u,5.1999998093,American-Style Lager,North American Lager,Germany
Alt,1648,Gatz Brauhaus,0.0,American-Style Brown Ale,North American Ale,Germany
Alt,1651,Brauerei im Fchschen,0.0,American-Style Brown Ale,North American Ale,Germany
Weissbier,1671,Keesmann Bru,4.8000001907,South German-Style Hefeweizen,German Ale,Germany
Rauchbier Weissbier,1674,Brauerei Spezial,0.0,American-Style Lager,North American Lager,Germany
Rauchbier MÃ¤rzen,1675,Brauerei Spezial,0.0,NA,NA,Germany
WeiÃŸbier Dunkel,1686,Andechser Klosterbrauerei,0.0,NA,NA,Germany
Hacker-Pschorr Original Oktoberfest,1827,Paulaner,0.0,German-Style Oktoberfest,German Lager,Germany
Ur-Bock Hell,1937,Einbecker Brauhaus AG,6.5,Traditional German-Style Bock,German Lager,Germany
Jubilate Special Reserve Anniversary Ale,1938,Brauerei und Altbierkche Pinkus Mller,0.0,American-Style Brown Ale,North American Ale,Germany
Premium Pils Edelherb,233,Kulmbacher Brauerei AG,4.9000000954,NA,NA,Germany
Winterfestival,1038,Allguer Brauhaus AG Kempten,5.5,German-Style Oktoberfest,German Lager,Germany
BrÃ¤u-Weisse,1340,Brauerei Aying Franz Inselkammer KG,0.0,South German-Style Hefeweizen,German Ale,Germany
