name,id,brewer,alcohol_by_volume,style,category,country
Royal Challenge Indian Premium Lager,1897,Skol Breweries,0.0,American-Style Lager,North American Lager,India
Yeti Special Export,146,Yuksom Breweries,7.0,American-Style Lager,North American Lager,India
Peroni Nastro Azzurro,5516,"Sabmiller India,",5.0999999046,American-Style Lager,North American Lager,India
Foster's Lager Beer,5519,"Sabmiller India,",4.9000000954,American-Style Lager,North American Lager,India
Indus Pride,5521,"Sabmiller India,",4.8000001907,NA,NA,India
Haywards 2000,5524,"Sabmiller India,",7.5,American-Style Lager,North American Lager,India
Haywards 5000,5515,"Sabmiller India,",7.5,American-Style Lager,North American Lager,India
Haywards Black,5518,"Sabmiller India,",8.0,American-Style Lager,North American Lager,India
Royal Challenge,5522,"Sabmiller India,",5.0,American-Style Lager,North American Lager,India
Abhi beer,5913,Abhi Brewery,0.0,Bamberg-Style Bock Rauchbier,German Lager,India
Peroni,5604,"Sabmiller India,",5.0999999046,American-Style Lager,North American Lager,India
Kingfisher Premium,5872,United Breweries Limited,4.8000001907,American-Style Light Lager,North American Lager,India
Flying Horse Royal Lager Beer,3562,United Breweries Limited,0.0,American-Style Lager,North American Lager,India
Haywords 5000,5225,"Sabmiller India,",7.5,American-Style Lager,North American Lager,India
Knock Out,5523,"Sabmiller India,",8.0,American-Style Lager,North American Lager,India
