name,id,brewer,alcohol_by_volume,style,category,country
Red Biddy / Real Biddy,1993,Biddy Early Brewery,4.9000000954,NA,NA,Ireland
1798 Revolution,2955,Dublin Brewing,0.0,English-Style Pale Mild Ale,British Ale,Ireland
St Patrick's Ale,5815,Strangford Lough Brewing Company Ltd,6.0,Classic English-Style Pale Ale,British Ale,Ireland
Genuine Irish Stout,1533,Beamish & Crawford,4.0999999046,American-Style Stout,North American Ale,Ireland
Legbiter Ale,5811,Strangford Lough Brewing Company Ltd,4.6999998093,Classic English-Style Pale Ale,British Ale,Ireland
O'Hara's Celtic Stout,4234,Carlow Brewing Company,4.3000001907,American-Style Stout,North American Ale,Ireland
Guinness Draught,5878,Arthur Guinness & Son,4.3000001907,Classic Irish-Style Dry Stout,Irish Ale,Ireland
Guinness Extra Stout,4332,Arthur Guinness & Son,5.0,American-Style Stout,North American Ale,Ireland
Harp Lager,3948,Arthur Guinness & Son,5.0,American-Style Lager,North American Lager,Ireland
Smithwick's,4331,St. Francis Abbey Brewery,4.5,Irish-Style Red Ale,Irish Ale,Ireland
Guinness Draught,4473,Arthur Guinness & Son,4.3000001907,American-Style Stout,North American Ale,Ireland
Guinness 250th Anniversary Stout,5544,Arthur Guinness & Son,5.0,American-Style Stout,North American Ale,Ireland
St. Patrick's Best,5812,Strangford Lough Brewing Company Ltd,4.1999998093,Ordinary Bitter,British Ale,Ireland
St. Patrick's Gold,5814,Strangford Lough Brewing Company Ltd,4.8000001907,Light American Wheat Ale or Lager,Other Style,Ireland
Foreign Extra Stout,5862,Arthur Guinness & Son,7.5,Foreign (Export)-Style Stout,Irish Ale,Ireland
Barelegs Brew,5813,Strangford Lough Brewing Company Ltd,4.5,Classic English-Style Pale Ale,British Ale,Ireland
