name,id,brewer,alcohol_by_volume,style,category,country
Hitachino Nest Sweet Stout,1577,Kiuchi Shuzou Goushi Kaisya,3.5,American-Style Stout,North American Ale,Japan
Hitachino Nest White Ale,1573,Kiuchi Shuzou Goushi Kaisya,0.0,NA,NA,Japan
Busby Stout,2617,Keihan Uji Kotsu,0.0,American-Style Stout,North American Ale,Japan
Hitachino Nest Japanese Classic Ale,867,Kiuchi Shuzou Goushi Kaisya,7.0,English-Style India Pale Ale,British Ale,Japan
Hitachino Nest Espresso Stout,154,Kiuchi Shuzou Goushi Kaisya,7.5,NA,NA,Japan
Kolsch,2613,Brauhaus Onuma,0.0,NA,NA,Japan
Hitachino Nest Beer,2608,Kiuchi Shuzou Goushi Kaisya,0.0,South German-Style Hefeweizen,German Ale,Japan
Hitachino Nest Celebration Ale 2006,426,Kiuchi Shuzou Goushi Kaisya,9.0,NA,NA,Japan
Hitachino Nest XH,5837,Kiuchi Shuzou Goushi Kaisya,8.0,American-Style Strong Pale Ale,North American Ale,Japan
Hitachino Nest Real Ginger Brew,11,Kiuchi Shuzou Goushi Kaisya,7.0,NA,NA,Japan
Kirin Light,4668,"Kirin Brewery Company, Ltd",3.3099999428,American-Style Light Lager,North American Lager,Japan
Asahi Super Dry,4396,Asahi Breweries,0.0,American-Style Lager,North American Lager,Japan
Koshihikari Echigo Beer,5900,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,5.0,Out of Category,Other Style,Japan
Kirin Ichiban,4667,"Kirin Brewery Company, Ltd",4.9499998093,NA,NA,Japan
Edomae,3343,Asahi Breweries,0.0,NA,NA,Japan
Beer Works Ale Golden,2622,Pokka Beer Works,0.0,NA,NA,Japan
Imported Black Stout Draft,3707,Sapporo Breweries - Chuo,0.0,German-Style Schwarzbier,German Lager,Japan
Draft,3608,Sapporo Breweries - Chuo,0.0,American-Style Lager,North American Lager,Japan
Kuronama,2605,Asahi Breweries,0.0,Porter,Irish Ale,Japan
Weizen,2607,Hida Takayama Brewing Agricultural Company,0.0,South German-Style Hefeweizen,German Ale,Japan
Ise Kadoya Stout,5838,Nikenjayamochi Kadoya Honten Co.,5.0,American-Style Stout,North American Ale,Japan
