name,id,brewer,alcohol_by_volume,style,category,country
Noche Buena Special Holiday Amber Beer,3305,Cervecera Cuauhtmoc-Moctezuma,0.0,American-Style Lager,North American Lager,Mexico
Carta Blanca,3561,Cervecera Cuauhtmoc-Moctezuma,0.0,American-Style Lager,North American Lager,Mexico
Tecate,4264,Cervecera Cuauhtmoc-Moctezuma,0.0,American-Style Lager,North American Lager,Mexico
Dos Equis Amber Lager,4307,Cervecera Cuauhtmoc-Moctezuma,0.0,American-Style Lager,North American Lager,Mexico
PacÃ­fico Clara,4388,Grupo Modelo,4.5,American-Style Lager,North American Lager,Mexico
Corona Extra,4265,Grupo Modelo,4.5999999046,American-Style Lager,North American Lager,Mexico
Dos Equis Special Lager,4308,Cervecera Cuauhtmoc-Moctezuma,0.0,American-Style Lager,North American Lager,Mexico
Negra Modelo,4371,Grupo Modelo,6.0,American-Style Lager,North American Lager,Mexico
Modelo especial,4808,Grupo Modelo,0.0,American-Style Light Lager,North American Lager,Mexico
Cucapa Honey Ale,5699,Cucapa Brewing Company,4.5,American-Style Amber/Red Ale,North American Ale,Mexico
Cerveza Sol,4296,Cervecera Cuauhtmoc-Moctezuma,4.5,American-Style Lager,North American Lager,Mexico
Corona Light,5869,Grupo Modelo,4.0999999046,American-Style Light Lager,North American Lager,Mexico
Bohemia ClÃ¡sica,3551,Cervecera Cuauhtmoc-Moctezuma,0.0,American-Style Lager,North American Lager,Mexico
