name,id,brewer,alcohol_by_volume,style,category,country
Adriaan,110,Haarlems Biergenootschap Jopen,5.0,NA,NA,Netherlands
Quadrupel,366,Bierbrouwerij De Koningshoeven,10.0,NA,NA,Netherlands
Tripel,367,Bierbrouwerij De Koningshoeven,8.0,NA,NA,Netherlands
La Trappe Quadrupel 2000/2001,1830,Bierbrouwerij De Koningshoeven,10.0,NA,NA,Netherlands
Dort,1433,Gulpener Bierbrouwerij,6.5,Traditional German-Style Bock,German Lager,Netherlands
Mestreechs Aajt,1526,Gulpener Bierbrouwerij,3.5,NA,NA,Netherlands
Us Heit Dubbel Tarwe Bier,1796,De Friese Bierbrouwerij Us Heit,0.0,South German-Style Weizenbock,German Ale,Netherlands
La Trappe Tripel,2013,Bierbrouwerij De Koningshoeven,8.0,Belgian-Style Tripel,Belgian and French Ale,Netherlands
Heineken,4339,Heineken International,5.0,American-Style Lager,North American Lager,Netherlands
Holland Beer,2787,Bierbrouwerij Bavaria,0.0,NA,NA,Netherlands
Robertus,2886,Bierbrouwerij St.Christoffel,6.0,American-Style Lager,North American Lager,Netherlands
Premium Light Lager Beer,662,Heineken International,0.0,American-Style Lager,North American Lager,Netherlands
Dubbel,368,Bierbrouwerij De Koningshoeven,7.0,NA,NA,Netherlands
Zatte Amsterdamse Tripel,906,Brouwerij 't IJ,8.0,NA,NA,Netherlands
Hollandia,2755,Bierbrouwerij Bavaria,0.0,American-Style Lager,North American Lager,Netherlands
Nieuw Ligt Grand Cru 2006,413,Stadsbrouwerij De Hemel,12.0,NA,NA,Netherlands
De Horste Vermeer Traditional Dutch Ale,888,Bierbrouwerij Bavaria,8.0,NA,NA,Netherlands
Grolsch Pilsner Speciale,4245,Grolsche Bierbrouwerij,5.5,German-Style Pilsener,German Lager,Netherlands
Amstel Light,4541,Amstel Brouwerij,3.5,American-Style Light Lager,North American Lager,Netherlands
Grolsch Premium Weizen,4243,Grolsche Bierbrouwerij,5.5,Light American Wheat Ale or Lager,Other Style,Netherlands
Grolsch Dunkel Weizen,4244,Grolsche Bierbrouwerij,5.5,Light American Wheat Ale or Lager,Other Style,Netherlands
Lager Beer,661,Heineken International,0.0,NA,NA,Netherlands
La Trappe Dubbel,4250,Bierbrouwerij De Koningshoeven,6.5,Belgian-Style Dubbel,Belgian and French Ale,Netherlands
Christoffel Blond,4938,Bierbrouwerij St.Christoffel,6.0,Golden or Blonde Ale,North American Ale,Netherlands
Tilburg's Dutch Brown Ale,4966,Bierbrouwerij De Koningshoeven,5.0,Other Belgian-Style Ales,Belgian and French Ale,Netherlands
Grolsch Amber Ale,4242,Grolsche Bierbrouwerij,5.3000001907,German-Style Brown Ale/Altbier,German Ale,Netherlands
La Trappe Enkel / La Trappe Blond,4249,Bierbrouwerij De Koningshoeven,6.5,Golden or Blonde Ale,North American Ale,Netherlands
Dark Lager,660,Heineken International,0.0,NA,NA,Netherlands
Grolsch Premium Pilsner,4246,Grolsche Bierbrouwerij,5.0,German-Style Pilsener,German Lager,Netherlands
