name,id,brewer,alcohol_by_volume,style,category,country
Hexen BrÃ¤u,3393,Brauerei Hrlimann,0.0,Traditional German-Style Bock,German Lager,Switzerland
Huusbier Schwarz,543,Brauhaus Sternen,4.5,Porter,Irish Ale,Switzerland
Dunkel,565,Wdi-Bru-Huus,4.8000001907,NA,NA,Switzerland
Hell,566,Wdi-Bru-Huus,4.8000001907,NA,NA,Switzerland
Weizenbier,557,Gasthof-Brauerei zum Frohsinn,0.0,South German-Style Hefeweizen,German Ale,Switzerland
Leermond Bier,541,Brauerei Locher AG,0.0,NA,NA,Switzerland
Maisbier,556,Gasthof-Brauerei zum Frohsinn,0.0,NA,NA,Switzerland
Ur-Pils,562,Wdi-Bru-Huus,5.0999999046,NA,NA,Switzerland
Blond,567,Wdi-Bru-Huus,4.8000001907,NA,NA,Switzerland
Original Ittinger KlosterbrÃ¤u,542,Heineken Switzerland,0.0,American-Style Lager,North American Lager,Switzerland
Altbier,539,Steinfels Back & Brau,0.0,American-Style Brown Ale,North American Ale,Switzerland
Honey Brown Ale,546,Brauhaus Sternen,6.0,American-Style Lager,North American Lager,Switzerland
Dunkel,558,Gasthof-Brauerei zum Frohsinn,0.0,NA,NA,Switzerland
Single-Malt-Bier,561,Wdi-Bru-Huus,0.0,American-Style Lager,North American Lager,Switzerland
Ur-Weizen,563,Wdi-Bru-Huus,5.0,South German-Style Hefeweizen,German Ale,Switzerland
LÃ¶wen Weisse,537,Lwenbru Zrich,0.0,South German-Style Hefeweizen,German Ale,Switzerland
St. Galler Landbier,555,Brauerei Schtzengarten,0.0,NA,NA,Switzerland
Huusbier,540,Steinfels Back & Brau,0.0,NA,NA,Switzerland
Hell,559,Gasthof-Brauerei zum Frohsinn,0.0,NA,NA,Switzerland
CuvÃ©e du 7Ã¨me,532,Brasserie des Franches-Montagnes,0.0,NA,NA,Switzerland
Weizentrumpf,545,Brauhaus Sternen,5.5,South German-Style Hefeweizen,German Ale,Switzerland
Herbstbier,538,Steinfels Back & Brau,0.0,German-Style Schwarzbier,German Lager,Switzerland
Oktoberfest,544,Brauhaus Sternen,0.0,South German-Style Weizenbock,German Ale,Switzerland
Huusbier Hell,547,Brauhaus Sternen,4.5999999046,NA,NA,Switzerland
Hanf,564,Wdi-Bru-Huus,5.0,NA,NA,Switzerland
