name,id,brewer,alcohol_by_volume,style,category,country
Scottish Ale,1495,Carlyle Brewing,5.8000001907,Scotch Ale,British Ale,United States
Bee Sting Honey Ale,1527,Great Divide Brewing,5.9000000954,American-Style Pale Ale,North American Ale,United States
PranQster Belgian Ale,1540,North Coast Brewing Company,7.5999999046,NA,NA,United States
Native Ale,1699,New Glarus Brewing Company,0.0,American-Style Amber/Red Ale,North American Ale,United States
Bootlegger Blonde Ale,1758,Pizzeria Uno Chicago Grill & Brewery,0.0,NA,NA,United States
Imperial Stout,1775,Triumph Brewing of Princeton,9.0,American-Style Stout,North American Ale,United States
Pale Ale,1787,Joshua Huddy's Brew Pub and Grill,0.0,American-Style Pale Ale,North American Ale,United States
New Peculier,1817,Great Dane Pub and Brewing #2,0.0,Old Ale,British Ale,United States
Old Glory American Pale Ale,1818,Great Dane Pub and Brewing #2,0.0,American-Style Pale Ale,North American Ale,United States
Golden Blonde,1850,Harvest Moon Brewery / Cafe,0.0,NA,NA,United States
Pacific Coast Ale,1858,Trap Rock Restaurant and Brewery,5.5999999046,NA,NA,United States
Schwarzbier,1865,Hereford & Hops Steakhouse and Brewpub #3,0.0,German-Style Schwarzbier,German Lager,United States
Porter,1885,Corner Pub,0.0,Porter,Irish Ale,United States
Canadian Light,1887,Courthouse Pub,0.0,American-Style Lager,North American Lager,United States
Honey Wheat,1909,Great Waters Brewing Company,0.0,American-Style Lager,North American Lager,United States
Stillwater Stout,1915,Rock Bottom Restaurant & Brewery - Minneapolis,0.0,American-Style Stout,North American Ale,United States
Itasca Extra Pale Ale,1918,Rock Bottom Restaurant & Brewery - Minneapolis,0.0,English-Style Pale Mild Ale,British Ale,United States
Cologne Golden Ale,1933,Sherlock's Home,0.0,NA,NA,United States
Extra Special Bitter,1948,LaConner Brewing,0.0,NA,NA,United States
Red Line Amber,2995,Sanford's Grub and Pub,0.0,American-Style Amber/Red Ale,North American Ale,United States
ESB,3007,Court Avenue Brewing,0.0,NA,NA,United States
Summer Alt,3035,Cedar Brewing,0.0,American-Style Brown Ale,North American Ale,United States
Red Fox Amber,3077,River West Brewing,0.0,American-Style Amber/Red Ale,North American Ale,United States
Whistle Stop Weiss Beer,3080,River West Brewing,0.0,South German-Style Hefeweizen,German Ale,United States
Dunkel Weizen,3139,Tabernash Brewing,0.0,NA,NA,United States
G.E. Lite,3147,Glen Ellyn Sports Brew,0.0,American-Style Lager,North American Lager,United States
Prime I.P.A.,3154,Taylor Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Weisen,3156,Taylor Brewing,0.0,South German-Style Hefeweizen,German Ale,United States
Wheat Honey Ale,3169,Millrose Brewing,0.0,American-Style Lager,North American Lager,United States
Eighty Shilling Ale,3177,Flatlander's Restaurant & Brewery,0.0,NA,NA,United States
Rye Stout,3197,Goose Island Beer Company - Clybourn,0.0,American-Style Lager,North American Lager,United States
Dusseldorfer Doppelbock,3201,Weinkeller Brewery - Berwyn,6.0,Traditional German-Style Bock,German Lager,United States
Wind Chill Spiced Ale (discontinued),3216,Spilker Ales,0.0,NA,NA,United States
Light,3229,Wild River Brewing and Pizza - Cave Junction,0.0,NA,NA,United States
Red Rock,3277,Beach Brewing,0.0,American-Style Amber/Red Ale,North American Ale,United States
Stout,3283,Humboldt Brewing,0.0,American-Style Stout,North American Ale,United States
Coal Porter,3289,Traffic Jam and Snug,0.0,Porter,Irish Ale,United States
Special Export,3293,G. Heileman Brewing,0.0,American-Style Lager,North American Lager,United States
Limestone 1897 Original Amber Ale (discontinued),3301,Alltech's Lexington Brewing Company,0.0,American-Style Amber/Red Ale,North American Ale,United States
Beer,3302,Kentucky Hemp Beer Company,0.0,NA,NA,United States
Tripppleberry Wheat,3309,Barley Brothers Brewery and Grill,0.0,Light American Wheat Ale or Lager,Other Style,United States
Bigfoot 1996,3340,Sierra Nevada Brewing Co.,9.6000003815,NA,NA,United States
Harvest Ale,3352,Sierra Nevada Brewing Co.,6.5,American-Style Pale Ale,North American Ale,United States
Frambozen,3365,New Belgium Brewing,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,United States
Pale Ale,3370,Full Sail Brewing #1,0.0,American-Style Pale Ale,North American Ale,United States
Light Ale,3414,Routh Street Brewery and Grille,0.0,NA,NA,United States
Honey Bock,3425,Salado Creek Brewing Company,0.0,Traditional German-Style Bock,German Lager,United States
